Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
AI,4.296,0.204,5.695,-2.000
AI,4.356,0.204,17.971,-2.000
AI,4.416,0.204,12.575,-2.000
AI,4.477,0.204,8.761,-2.000
AI,4.538,0.204,6.148,-2.000
AI,4.600,0.164,4.305,-2.000
AI,4.525,0.164,17.859,-2.000
AI,4.449,0.164,12.502,-2.000
AI,4.375,0.164,8.719,-2.000
AI,4.300,0.164,6.130,-2.000
AI,4.226,0.072,4.306,-2.000
AI,4.148,0.072,11.091,-2.000
AI,4.070,0.072,7.733,-2.000
AI,3.993,0.072,5.421,-2.000
AI,3.915,0.072,3.791,-2.000
AI,3.838,0.178,2.647,-2.000
AI,3.734,0.178,10.025,-1.000
AI,3.630,0.178,7.013,-2.000
AI,3.527,0.178,4.938,-2.000
AI,3.423,0.178,3.482,-2.000
AI,3.320,0.099,2.464,-2.000
AI,3.333,0.099,20.916,-2.000
AI,3.346,0.099,14.648,-2.000
AI,3.359,0.099,10.264,-2.000
AI,3.372,0.099,7.177,-2.000
AI,3.385,0.367,5.051,-2.000
AI,3.343,0.367,8.568,-2.000
AI,3.301,0.367,6.061,-2.000
AI,3.259,0.367,4.297,-2.000
AI,3.217,0.367,3.067,-2.000
AI,3.176,0.398,2.213,-2.000
AI,3.212,0.398,8.568,-2.000
AI,3.248,0.398,6.021,-2.000
AI,3.284,0.398,4.228,-2.000
AI,3.321,0.398,2.974,-2.000
AI,3.357,0.545,2.104,-2.000
AI,3.337,0.545,13.703,-2.000
AI,3.319,0.545,9.621,-2.000
AI,3.301,0.545,6.754,-2.000
AI,3.284,0.545,4.783,-2.000
AI,3.268,0.191,3.407,-2.000
AI,3.279,0.191,13.067,-2.000
AI,3.289,0.191,9.144,-2.000
AI,3.299,0.191,6.461,-2.000
AI,3.309,0.191,4.567,-2.000
AI,3.319,0.050,3.236,-2.000
AI,3.378,0.050,16.575,-2.000
AI,3.436,0.050,11.602,-2.000
AI,3.494,0.050,8.093,-2.000
AI,3.553,0.050,5.683,-2.000
AI,3.611,0.085,3.985,-2.000
AI,3.705,0.085,10.570,-2.000
AI,3.799,0.085,7.378,-2.000
AI,3.893,0.085,5.179,-2.000
AI,3.987,0.085,3.630,-2.000
AI,4.082,0.107,2.544,-2.000
AI,4.176,0.107,9.815,-2.000
AI,4.270,0.107,6.853,-2.000
AI,4.364,0.107,4.807,-2.000
AI,4.458,0.107,3.368,-2.000
AI,4.552,0.142,2.358,-2.000
AI,4.646,0.142,15.089,-2.000
AI,4.740,0.142,10.552,-2.000
AI,4.834,0.142,7.354,-2.000
AI,4.927,0.142,5.149,-2.000
AI,5.021,0.206,3.597,-2.000
AI,5.114,0.206,1.316,-2.000
AI,5.207,0.206,0.887,-2.000
AI,5.300,0.206,0.585,-2.000
AI,5.393,0.206,0.373,-2.000
AI,5.486,0.083,0.221,-2.000
AI,5.580,0.083,12.491,-2.000
AI,5.671,0.083,8.742,-2.000
AI,5.762,0.083,6.180,-2.000
AI,5.853,0.083,4.376,-2.000
AI,5.945,0.123,3.112,-2.000
AI,5.914,0.123,8.731,-2.000
AI,5.882,0.123,6.140,-2.000
AI,5.851,0.123,4.312,-2.000
AI,5.819,0.123,3.029,-2.000
AI,5.788,0.004,2.130,-2.000
AI,5.743,0.004,7.836,-2.000
AI,5.698,0.004,5.505,-2.000
AI,5.654,0.004,3.865,-2.000
AI,5.610,0.004,2.716,-2.000
AI,5.567,0.054,1.916,-2.000
AI,5.598,0.054,22.472,-2.000
AI,5.630,0.054,15.703,-2.000
AI,5.663,0.054,10.963,-2.000
AI,5.696,0.054,7.620,-2.000
AI,5.730,0.026,5.320,-2.000
AI,5.654,0.026,27.831,-2.000
AI,5.578,0.026,19.525,-2.000
AI,5.502,0.026,13.720,-2.000
AI,5.427,0.026,9.666,-2.000
AI,5.352,0.017,6.820,-2.000
AI,5.289,0.017,29.330,-1.000
AI,5.227,0.017,20.588,-2.000
AI,5.165,0.017,14.477,-2.000
AI,5.104,0.017,10.206,-2.000
AI,5.043,0.356,38.132,-2.000
AI,4.583,0.356,7.223,-2.000
AI,4.160,0.356,5.069,-2.000
AI,3.786,0.356,3.553,-2.000
AI,3.473,0.356,2.488,-2.000
