Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
AI,2.449,0.090,45.722,-2.000
AI,2.464,0.090,31.995,-2.000
AI,2.478,0.090,22.382,-2.000
AI,2.493,0.090,15.651,-2.000
AI,2.508,0.348,10.938,-2.000
AI,2.564,0.348,6.263,-2.000
AI,2.620,0.348,4.416,-2.000
AI,2.677,0.348,3.123,-2.000
AI,2.734,0.348,2.225,-2.000
AI,2.791,0.199,1.606,-2.000
AI,2.815,0.199,17.903,-2.000
AI,2.884,0.199,12.373,-2.000
AI,2.954,0.199,8.467,-2.000
AI,3.024,0.199,5.797,-2.000
AI,3.096,0.057,3.919,-2.000
AI,3.029,0.057,13.645,-2.000
AI,2.963,0.057,9.532,-2.000
AI,2.896,0.057,6.714,-2.000
AI,2.830,0.057,4.717,-2.000
AI,2.763,0.067,3.307,-2.000
AI,2.695,0.067,30.228,-2.000
AI,2.628,0.067,21.222,-2.000
AI,2.561,0.067,14.924,-2.000
AI,2.494,0.067,10.523,-2.000
AI,2.428,0.047,7.432,-2.000
AI,2.518,0.047,28.740,-2.000
AI,2.609,0.047,20.128,-2.000
AI,2.701,0.047,14.101,-2.000
AI,2.793,0.047,9.884,-2.000
AI,2.885,0.045,6.916,-2.000
AI,2.816,0.045,22.053,-2.000
AI,2.748,0.045,15.501,-2.000
AI,2.679,0.045,10.927,-2.000
AI,2.611,0.045,7.713,-2.000
AI,2.544,0.015,5.513,-2.000
AI,2.595,0.015,31.143,-2.000
AI,2.648,0.015,21.922,-2.000
AI,2.700,0.015,15.476,-2.000
AI,2.754,0.015,10.969,-2.000
AI,2.807,0.367,7.796,-2.000
AI,2.821,0.367,0.682,-2.000
AI,2.835,0.367,0.403,-2.000
AI,2.849,0.367,0.216,-2.000
AI,2.864,0.367,0.146,-2.000
AI,2.880,0.203,0.198,-2.000
AI,2.857,0.203,31.642,-2.000
AI,2.835,0.203,22.112,-2.000
AI,2.812,0.203,15.433,-2.000
AI,2.790,0.203,10.750,-2.000
AI,2.768,0.502,7.444,-2.000
AI,2.799,0.502,23.539,-2.000
AI,2.831,0.502,16.624,-2.000
AI,2.863,0.502,11.791,-2.000
AI,2.896,0.502,8.387,-2.000
AI,2.929,0.188,6.054,-2.000
AI,2.903,0.188,19.914,-2.000
AI,2.877,0.188,13.935,-2.000
AI,2.852,0.188,9.743,-2.000
AI,2.827,0.188,6.787,-2.000
AI,2.801,0.044,4.741,-2.000
AI,2.755,0.044,32.766,-2.000
AI,2.709,0.044,22.924,-2.000
AI,2.663,0.044,16.033,-2.000
AI,2.617,0.044,11.209,-2.000
AI,2.571,0.165,7.805,-2.000
AI,2.558,0.165,46.600,-2.000
AI,2.545,0.165,32.606,-2.000
AI,2.532,0.165,22.810,-2.000
AI,2.519,0.165,15.952,-2.000
AI,2.506,0.239,11.151,-2.000
AI,2.512,0.239,46.427,-2.000
AI,2.517,0.239,32.400,-2.000
AI,2.522,0.239,22.578,-2.000
AI,2.528,0.239,15.700,-2.000
AI,2.533,0.293,10.884,-2.000
AI,2.500,0.293,23.853,-2.000
AI,2.468,0.293,16.751,-2.000
AI,2.436,0.293,11.790,-2.000
AI,2.404,0.293,8.298,-2.000
AI,2.373,0.056,5.910,-2.000
AI,2.373,0.056,29.502,-2.000
AI,2.374,0.056,20.639,-2.000
AI,2.374,0.056,14.438,-2.000
AI,2.374,0.056,10.100,-2.000
AI,2.375,0.052,7.047,-2.000
AI,2.391,0.052,23.943,-2.000
AI,2.408,0.052,16.737,-2.000
AI,2.425,0.052,11.692,-2.000
AI,2.441,0.052,8.132,-2.000
AI,2.458,0.250,5.688,-2.000
AI,2.447,0.250,26.940,-2.000
AI,2.381,0.250,18.782,-2.000
AI,2.316,0.250,13.061,-2.000
AI,2.252,0.250,9.009,-2.000
AI,2.189,0.212,6.239,-2.000
AI,2.154,0.212,12.953,-2.000
AI,2.121,0.212,9.090,-2.000
AI,2.090,0.212,6.479,-2.000
AI,2.061,0.212,4.680,-2.000
AI,2.035,0.240,3.477,-2.000
AI,2.123,0.240,10.755,-2.000
AI,2.212,0.240,7.519,-2.000
AI,2.300,0.240,5.299,-2.000
